x1;x2;clase
2.768791322;6.052327096;2
1.769982691;0.87859691;2
2.25999007;3.022001367;2
2.338755214;4.392193287;2
1.96740448;-1.334330742;2
2.536065592;3.467318532;2
2.236032148;5.407097582;0
1.643051543;4.343758893;0
2.160561636;-1.291217481;0
2.308461022;0.407589798;0
2.005972756;3.669264792;0
2.575916652;-1.046797447;0
2.468700552;6.05248564;0
2.608477534;2.613398403;0
2.197696656;1.151970096;0
2.176336768;2.720769149;0
2.66050444;2.157200884;0
2.816932364;5.149184314;0
2.376747953;2.660953441;0
1.661010194;1.341444537;0
1.814783736;1.024945563;0
1.999137268;2.620847735;0
2.231018706;3.715793958;0
1.833819975;1.742925984;0
2.814762613;5.052716006;0
2.228304589;1.127877066;0
2.281687979;4.848966327;0
1.465834599;4.063217645;0
2.406498857;1.005338038;0
1.522069654;3.096404074;0
2.735158888;3.019977537;0
1.689414376;4.402018657;1
1.391185522;1.330380492;1
3.97441267;4.411692362;1
4.552200803;4.601964114;1
2.42883273;0.620169533;1
2.101838648;1.275336093;1
3.009599342;1.480793129;1
2.7358081;2.779825958;1
0.945980749;0.964307421;1
1.60708592;2.098570177;1
1.31088698;2.715629355;1
2.405839907;2.147365011;1
2.342268994;2.359686078;1
3.519025473;4.359978688;1
1.64546549;5.471869188;1
1.977806553;4.085462466;1
2.808394861;2.741132337;1
2.486698874;2.936744627;1
1.740565172;1.026386567;1
1.99605283;1.992862236;1
2.03720667;4.368770935;1
3.661246924;3.250443144;1
0.863670194;-0.078797459;1
1.824393481;4.097645668;1
1.221261046;5.224444071;1
1.292605722;7.70324618;1
2.28864256;2.221438127;1
-0.334064552;4.569227458;1
0.541728897;5.515202114;1
0.505521643;1.761325785;1
1.61774738;2.120335539;1
